Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Match_Type,Match_ID,Bowler,Player_ID
0,0,0,0,0.00,0.00,0.00,Australia,Bengaluru,09/28/17,ODI ,3917,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,Australia,Nagpur,10/01/17,ODI ,3919,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,New Zealand,Mumbai,10/22/17,ODI ,3928,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,New Zealand,Pune,10/25/17,ODI ,3931,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,New Zealand,Kanpur,10/29/17,ODI ,3932,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Dharamsala,12/10/17,ODI ,3939,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Mohali,12/13/17,ODI ,3941,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Visakhapatnam,12/17/17,ODI ,3942,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,South Africa,Durban,02/01/18,ODI ,3969,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,South Africa,Centurion,02/04/18,ODI ,3970,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,South Africa,Cape Town,02/07/18,ODI ,3971,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,South Africa,Johannesburg,02/10/18,ODI ,3973,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,South Africa,Port Elizabeth,02/13/18,ODI ,3976,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,South Africa,Centurion,02/16/18,ODI ,3978,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,England,Nottingham,07/12/18,ODI ,4014,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,England,Lord's,07/14/18,ODI ,4016,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,England,Leeds,07/17/18,ODI ,4018,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,Hong Kong,Dubai (DSC),09/18/18,ODI ,4039,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,Pakistan,Dubai (DSC),09/19/18,ODI ,4040,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,Bangladesh,Dubai (DSC),09/21/18,ODI ,4042,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,Pakistan,Dubai (DSC),09/23/18,ODI ,4044,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,Bangladesh,Dubai (DSC),09/28/18,ODI ,4048,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,West Indies,Guwahati,10/21/18,ODI ,4056,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,West Indies,Visakhapatnam,10/24/18,ODI ,4059,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,West Indies,Pune,10/27/18,ODI ,4062,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,West Indies,Mumbai (BS),10/29/18,ODI ,4063,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,West Indies,Thiruvananthapuram,11/01/18,ODI ,4064,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,Australia,Sydney,01/12/19,ODI ,4077,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,Australia,Adelaide,01/15/19,ODI ,4078,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,Australia,Melbourne,01/18/19,ODI ,4079,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,New Zealand,Napier,01/23/19,ODI ,4082,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,New Zealand,Mount Maunganui,01/26/19,ODI ,4085,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,New Zealand,Mount Maunganui,01/28/19,ODI ,4088,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,New Zealand,Hamilton,01/31/19,ODI ,4091,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,New Zealand,Wellington,02/03/19,ODI ,4092,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,Australia,Hyderabad (Deccan),03/02/19,ODI ,4102,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,Australia,Nagpur,03/05/19,ODI ,4106,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,Australia,Ranchi,03/08/19,ODI ,4109,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,Australia,Mohali,03/10/19,ODI ,4111,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,Australia,Delhi,03/13/19,ODI ,4113,Rohit Sharma ,34102
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Dambulla,08/18/08,ODI ,2742,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Dambulla,08/20/08,ODI ,2745,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Colombo (RPS),08/24/08,ODI ,2750,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Colombo (RPS),08/27/08,ODI ,2755,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Colombo (RPS),08/29/08,ODI ,2756,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Colombo (RPS),09/14/09,ODI ,2889,Virat Kohli ,253802
3,0,21,0,7.00,0.00,0.00,Pakistan,Centurion,09/26/09,ODI ,2898,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Australia,Centurion,09/28/09,ODI ,2901,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,West Indies,Johannesburg,09/30/09,ODI ,2904,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Australia,Vadodara,10/25/09,ODI ,2913,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Australia,Mohali,11/02/09,ODI ,2919,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Rajkot,12/15/09,ODI ,2932,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Nagpur,12/18/09,ODI ,2933,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Kolkata,12/24/09,ODI ,2935,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Delhi,12/27/09,ODI ,2936,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Dhaka,01/05/10,ODI ,2938,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Bangladesh,Dhaka,01/07/10,ODI ,2939,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Dhaka,01/10/10,ODI ,2941,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Bangladesh,Dhaka,01/11/10,ODI ,2942,Virat Kohli ,253802
1,0,12,0,7.20,0.00,0.00,Sri Lanka,Dhaka,01/13/10,ODI ,2943,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,South Africa,Jaipur,02/21/10,ODI ,2961,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,South Africa,Gwalior,02/24/10,ODI ,2962,Virat Kohli ,253802
2,0,11,0,5.50,0.00,0.00,South Africa,Ahmedabad,02/27/10,ODI ,2963,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Zimbabwe,Bulawayo,05/28/10,ODI ,2981,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Bulawayo,05/30/10,ODI ,2983,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Zimbabwe,Harare,06/03/10,ODI ,2986,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Harare,06/05/10,ODI ,2988,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Bangladesh,Dambulla,06/16/10,ODI ,2993,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Pakistan,Dambulla,06/19/10,ODI ,2996,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Dambulla,06/22/10,ODI ,2999,Virat Kohli ,253802
3,0,16,0,5.33,0.00,0.00,Sri Lanka,Dambulla,06/24/10,ODI ,3001,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Dambulla,08/16/10,ODI ,3032,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,New Zealand,Dambulla,08/25/10,ODI ,3039,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Dambulla,08/28/10,ODI ,3040,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Australia,Visakhapatnam,10/20/10,ODI ,3060,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,New Zealand,Guwahati,11/28/10,ODI ,3070,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,New Zealand,Jaipur,12/01/10,ODI ,3072,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,New Zealand,Vadodara,12/04/10,ODI ,3074,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,New Zealand,Bengaluru,12/07/10,ODI ,3076,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,New Zealand,Chennai,12/10/10,ODI ,3077,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,South Africa,Durban,01/12/11,ODI ,3079,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,South Africa,Johannesburg,01/15/11,ODI ,3080,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,South Africa,Cape Town,01/18/11,ODI ,3082,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,South Africa,Port Elizabeth,01/21/11,ODI ,3084,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,South Africa,Centurion,01/23/11,ODI ,3087,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Bangladesh,Dhaka,02/19/11,ODI ,3100,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,England,Bengaluru,02/27/11,ODI ,3110,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Ireland,Bengaluru,03/06/11,ODI ,3121,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Netherlands,Delhi,03/09/11,ODI ,3124,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,South Africa,Nagpur,03/12/11,ODI ,3128,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,West Indies,Chennai,03/20/11,ODI ,3141,Virat Kohli ,253802
1,0,6,0,6.00,0.00,0.00,Australia,Ahmedabad,03/24/11,ODI ,3143,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Pakistan,Mohali,03/30/11,ODI ,3147,Virat Kohli ,253802
1,0,6,0,6.00,0.00,0.00,Sri Lanka,Mumbai,04/02/11,ODI ,3148,Virat Kohli ,253802
3,1,16,0,5.33,0.00,0.00,West Indies,Port of Spain,06/06/11,ODI ,3159,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,West Indies,Port of Spain,06/08/11,ODI ,3160,Virat Kohli ,253802
1,0,7,0,7.00,0.00,0.00,West Indies,North Sound,06/11/11,ODI ,3161,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,West Indies,North Sound,06/13/11,ODI ,3162,Virat Kohli ,253802
3,0,13,0,4.33,0.00,0.00,West Indies,Kingston,06/16/11,ODI ,3163,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,England,Chester0le0Street,09/03/11,ODI ,3186,Virat Kohli ,253802
3,0,22,0,7.33,0.00,0.00,England,Southampton,09/06/11,ODI ,3187,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,England,The Oval,09/09/11,ODI ,3189,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,England,Lord's,09/11/11,ODI ,3191,Virat Kohli ,253802
6,0,44,1,7.33,44.00,36.00,England,Cardiff,09/16/11,ODI ,3195,Virat Kohli ,253802
3,0,11,0,3.66,0.00,0.00,England,Hyderabad (Deccan),10/14/11,ODI ,3199,Virat Kohli ,253802
5,0,18,0,3.60,0.00,0.00,England,Delhi,10/17/11,ODI ,3201,Virat Kohli ,253802
3,0,20,1,6.66,20.00,18.00,England,Mohali,10/20/11,ODI ,3205,Virat Kohli ,253802
4,0,14,0,3.50,0.00,0.00,England,Mumbai,10/23/11,ODI ,3207,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,England,Kolkata,10/25/11,ODI ,3210,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,West Indies,Cuttack,11/29/11,ODI ,3217,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,West Indies,Visakhapatnam,12/02/11,ODI ,3219,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,West Indies,Ahmedabad,12/05/11,ODI ,3221,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,West Indies,Indore,12/08/11,ODI ,3223,Virat Kohli ,253802
1,0,11,0,11.00,0.00,0.00,West Indies,Chennai,12/11/11,ODI ,3224,Virat Kohli ,253802
1,0,4,0,4.00,0.00,0.00,Australia,Melbourne,02/05/12,ODI ,3231,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Perth,02/08/12,ODI ,3233,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Australia,Adelaide,02/12/12,ODI ,3237,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Adelaide,02/14/12,ODI ,3239,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Australia,Brisbane,02/19/12,ODI ,3244,Virat Kohli ,253802
1,0,14,0,14.00,0.00,0.00,Sri Lanka,Brisbane,02/21/12,ODI ,3246,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Australia,Sydney,02/26/12,ODI ,3250,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Hobart,02/28/12,ODI ,3251,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Dhaka,03/13/12,ODI ,3259,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Bangladesh,Dhaka,03/16/12,ODI ,3261,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Pakistan,Dhaka,03/18/12,ODI ,3263,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Hambantota,07/21/12,ODI ,3291,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Hambantota,07/24/12,ODI ,3292,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Colombo (RPS),07/28/12,ODI ,3293,Virat Kohli ,253802
2,0,7,0,3.50,0.00,0.00,Sri Lanka,Colombo (RPS),07/31/12,ODI ,3294,Virat Kohli ,253802
1,0,3,0,3.00,0.00,0.00,Sri Lanka,Pallekele,08/04/12,ODI ,3295,Virat Kohli ,253802
3,0,21,0,7.41,0.00,0.00,Pakistan,Chennai,12/30/12,ODI ,3314,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Pakistan,Kolkata,01/03/13,ODI ,3315,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Pakistan,Delhi,01/06/13,ODI ,3316,Virat Kohli ,253802
1,0,9,0,9.00,0.00,0.00,England,Rajkot,01/11/13,ODI ,3318,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,England,Kochi,01/15/13,ODI ,3320,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,England,Ranchi,01/19/13,ODI ,3322,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,England,Mohali,01/23/13,ODI ,3327,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,England,Dharamsala,01/27/13,ODI ,3329,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,South Africa,Cardiff,06/06/13,ODI ,3363,Virat Kohli ,253802
4,0,26,0,6.50,0.00,0.00,West Indies,The Oval,06/11/13,ODI ,3368,Virat Kohli ,253802
2,0,11,0,5.50,0.00,0.00,Pakistan,Birmingham,06/15/13,ODI ,3372,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Cardiff,06/20/13,ODI ,3376,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,England,Birmingham,06/23/13,ODI ,3377,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,West Indies,Kingston,06/30/13,ODI ,3380,Virat Kohli ,253802
2,0,9,0,4.50,0.00,0.00,Sri Lanka,Kingston,07/02/13,ODI ,3382,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,West Indies,Port of Spain,07/05/13,ODI ,3383,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Port of Spain,07/09/13,ODI ,3387,Virat Kohli ,253802
3,0,17,0,5.66,0.00,0.00,Sri Lanka,Port of Spain,07/11/13,ODI ,3388,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Zimbabwe,Harare,07/24/13,ODI ,3395,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Zimbabwe,Harare,07/26/13,ODI ,3397,Virat Kohli ,253802
1,0,7,0,7.00,0.00,0.00,Zimbabwe,Harare,07/28/13,ODI ,3399,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Zimbabwe,Bulawayo,08/01/13,ODI ,3402,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Zimbabwe,Bulawayo,08/03/13,ODI ,3403,Virat Kohli ,253802
1,0,12,0,12.00,0.00,0.00,Australia,Pune,10/13/13,ODI ,3419,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Australia,Jaipur,10/16/13,ODI ,3420,Virat Kohli ,253802
1,0,18,0,18.00,0.00,0.00,Australia,Mohali,10/19/13,ODI ,3421,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Australia,Ranchi,10/23/13,ODI ,3422,Virat Kohli ,253802
2,0,15,0,7.50,0.00,0.00,Australia,Nagpur,10/30/13,ODI ,3424,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Australia,Bengaluru,11/02/13,ODI ,3428,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,West Indies,Kochi,11/21/13,ODI ,3436,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,West Indies,Visakhapatnam,11/24/13,ODI ,3437,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,West Indies,Kanpur,11/27/13,ODI ,3439,Virat Kohli ,253802
2,0,15,1,7.50,15.00,12.00,South Africa,Johannesburg,12/05/13,ODI ,3442,Virat Kohli ,253802
3,0,17,0,5.66,0.00,0.00,South Africa,Durban,12/08/13,ODI ,3443,Virat Kohli ,253802
3,0,22,0,7.33,0.00,0.00,South Africa,Centurion,12/11/13,ODI ,3444,Virat Kohli ,253802
3,0,13,0,4.33,0.00,0.00,New Zealand,Napier,01/19/14,ODI ,3456,Virat Kohli ,253802
2,0,12,0,6.00,0.00,0.00,New Zealand,Hamilton,01/22/14,ODI ,3458,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,New Zealand,Auckland,01/25/14,ODI ,3462,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,New Zealand,Hamilton,01/28/14,ODI ,3465,Virat Kohli ,253802
7,0,36,1,5.14,36.00,42.00,New Zealand,Wellington,01/31/14,ODI ,3467,Virat Kohli ,253802
1,0,6,0,5.14,0.00,0.00,Bangladesh,Fatullah,02/26/14,ODI ,3474,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Fatullah,02/28/14,ODI ,3476,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Pakistan,Dhaka,03/02/14,ODI ,3479,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Afghanistan,Dhaka,03/05/14,ODI ,3483,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,England,Cardiff,08/27/14,ODI ,3517,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,England,Nottingham,08/30/14,ODI ,3520,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,England,Birmingham,09/02/14,ODI ,3523,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,England,Leeds,09/05/14,ODI ,3525,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,West Indies,Kochi,10/08/14,ODI ,3531,Virat Kohli ,253802
2,0,20,0,10.00,0.00,0.00,West Indies,Delhi,10/11/14,ODI ,3533,Virat Kohli ,253802
1,0,14,0,14.00,0.00,0.00,West Indies,Dharamsala,10/17/14,ODI ,3535,Virat Kohli ,253802
1,0,6,0,7.20,0.00,0.00,Sri Lanka,Cuttack,11/02/14,ODI ,3539,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Ahmedabad,11/06/14,ODI ,3540,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Hyderabad (Deccan),11/09/14,ODI ,3543,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Kolkata,11/13/14,ODI ,3544,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Ranchi,11/16/14,ODI ,3547,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Australia,Melbourne,01/18/15,ODI ,3582,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,England,Brisbane,01/20/15,ODI ,3586,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Australia,Sydney,01/26/15,ODI ,3592,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,England,Perth,01/30/15,ODI ,3595,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Pakistan,Adelaide,02/15/15,ODI ,3602,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,South Africa,Melbourne,02/22/15,ODI ,3610,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,U.A.E.,Perth,02/28/15,ODI ,3618,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,West Indies,Perth,03/06/15,ODI ,3625,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Ireland,Hamilton,03/10/15,ODI ,3631,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Zimbabwe,Auckland,03/14/15,ODI ,3636,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Bangladesh,Melbourne,03/19/15,ODI ,3641,Virat Kohli ,253802
1,0,7,0,7.00,0.00,0.00,Australia,Sydney,03/26/15,ODI ,3645,Virat Kohli ,253802
2,0,12,0,6.00,0.00,0.00,Bangladesh,Dhaka,06/18/15,ODI ,3658,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Bangladesh,Dhaka,06/21/15,ODI ,3660,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Bangladesh,Dhaka,06/24/15,ODI ,3661,Virat Kohli ,253802
0,0,1,0,3.00,0.00,0.00,South Africa,Kanpur,10/11/15,ODI ,3689,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,South Africa,Indore,10/14/15,ODI ,3692,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,South Africa,Rajkot,10/18/15,ODI ,3695,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,South Africa,Chennai,10/22/15,ODI ,3698,Virat Kohli ,253802
2,0,14,0,7.00,0.00,0.00,South Africa,Mumbai,10/25/15,ODI ,3700,Virat Kohli ,253802
2,0,13,0,6.50,0.00,0.00,Australia,Perth,01/12/16,ODI ,3723,Virat Kohli ,253802
1,0,7,0,7.00,0.00,0.00,Australia,Brisbane,01/15/16,ODI ,3724,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Australia,Melbourne,01/17/16,ODI ,3725,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Australia,Canberra,01/20/16,ODI ,3726,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Australia,Sydney,01/23/16,ODI ,3727,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,New Zealand,Dharamsala,10/16/16,ODI ,3796,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,New Zealand,Delhi,10/20/16,ODI ,3797,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,New Zealand,Mohali,10/23/16,ODI ,3798,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,New Zealand,Ranchi,10/26/16,ODI ,3799,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,New Zealand,Visakhapatnam,10/29/16,ODI ,3800,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,England,Pune,01/15/17,ODI ,3819,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,England,Cuttack,01/19/17,ODI ,3821,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,England,Kolkata,01/22/17,ODI ,3824,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Pakistan,Birmingham,06/04/17,ODI ,3878,Virat Kohli ,253802
3,0,17,0,5.66,0.00,0.00,Sri Lanka,The Oval,06/08/17,ODI ,3882,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,South Africa,The Oval,06/11/17,ODI ,3886,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Bangladesh,Birmingham,06/15/17,ODI ,3891,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Pakistan,The Oval,06/18/17,ODI ,3894,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,West Indies,Port of Spain,06/23/17,ODI ,3895,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,West Indies,Port of Spain,06/25/17,ODI ,3896,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,West Indies,North Sound,06/30/17,ODI ,3898,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,West Indies,North Sound,07/02/17,ODI ,3900,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,West Indies,Kingston,07/06/17,ODI ,3902,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Dambulla,08/20/17,ODI ,3905,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Pallekele,08/24/17,ODI ,3906,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Pallekele,08/27/17,ODI ,3907,Virat Kohli ,253802
2,0,12,0,6.00,0.00,0.00,Sri Lanka,Colombo (RPS),08/31/17,ODI ,3908,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Colombo (RPS),09/03/17,ODI ,3909,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Australia,Chennai,09/17/17,ODI ,3910,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Australia,Kolkata,09/21/17,ODI ,3912,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Australia,Indore,09/24/17,ODI ,3914,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Australia,Bengaluru,09/28/17,ODI ,3917,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,Australia,Nagpur,10/01/17,ODI ,3919,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,New Zealand,Mumbai,10/22/17,ODI ,3928,Virat Kohli ,253802
0,0,0,0,0.00,0.00,0.00,New Zealand,Pune,10/25/17,ODI ,3931,Virat Kohli ,253802
